ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
198A0010042@ACETAMINOFEN 500mg TABLETA | CAJA X 100. LAFRANCOL@ACETAMINOFEN@1328@26@2631@@1470
198A0010044@ACETAMINOFEN JARABE 150mg/5ml SOLUCION ORAL | FRASCO X 60 ML. LAFRANCOL@ACETAMINOFEN@7@5@10@@0
1312A1710001@NODOL FORTE 325+30mg TABLETA | CAJA X 100. SALUSPHARMA S.A.S.@ACETAMINOFEN+CODEINA@703@500@907@@0
1115A1710544@ACETAMINOFEN+CODEINA 325+30mg TABLETA | CAJA X 200. NOVAMED@ACETAMINOFEN+CODEINA@80@0@160@@4630
198A0650003@DOLIREN 5mg/325mg TABLETA | CAJA X 100. LAFRANCOL@ACETAMINOFEN-HIDROCODONA BITARTRATO@0@280@0@@0
127A0050068@ZIFLUVIS POLVO PARA RECONSTITUIR 2g/100mg/5ml SOLUCION ORAL | FRASCO X 150ML. BIOQUIFAR@ACETILCISTEINA@0@2@0@@254
192A0050072@N-ACETILCISTEINA GRANULADO 100mg SOBRE | CAJA X 30. LA SANTE@ACETILCISTEINA@58@90@27@@0
168A0060098@ACICLOVIR 800mg TABLETA | CAJA X 10. GEN-FAR S.A@ACICLOVIR@10@125@0@@230
168A0060097@ACICLOVIR 200mg TABLETA | CAJA X 25. GEN-FAR S.A@ACICLOVIR@46@580@0@@0
127A0060001@ACTIVIRAL TOPICO 5% UNGUENTO | TUBO X 15g. BIOQUIFAR@ACICLOVIR@0@4@0@@981
120A0030060@CARDIOASPIRINA RETARD 100mg TABLETA | CAJA X 30. BAYER@ACIDO ACETIL SALICILICO@10@570@0@@0
1168A0030067@ACIDO ACETILSALICILICO 100mg TABLETA | CAJA X 900. GEN-FAR S.A@ACIDO ACETIL SALICILICO@908@1115@702@@21150
120A0030063@CARDIOASPIRINA RETARD 81mg TABLETA | CAJA X 30. BAYER@ACIDO ACETIL SALICILICO@20@0@40@@0
1115A0310283@VITAMINA C 500mg TABLETA | CAJA X 300. NOVAMED@ACIDO ASCORBICO@105@198@12@@600
150F0142041@ACIDO FOLICO 1mg TABLETA | CAJA X 600. ECAR@ACIDO FOLICO@290@252@328@@36150
168A336930668@ACIDO FUSIDICO 2% CREMA | TUBO X 15G. GEN-FAR S.A@ACIDO FUSIDICO@0@2@0@@1
168I0210001@ACIDO IBANDRONICO 150mg TABLETA | CAJA X 1. GEN-FAR S.A@ACIDO IBANDRONICO@0@8@0@@0
1145A1600637@ACRYLARM OFTALMICA 0.25% GEL | TUBO X 10G. SCANDINAVIA@ACIDO POLIACRILICO@1@2@1@@189
127A0080122@FINAPAR 200mg TABLETA | CAJA X 50. BIOQUIFAR@ALBENDAZOL@8@40@0@@5549
127A0080123@FINAPAR SACHET 20mg/mlx20ml SUSPENSION ORAL | CAJA X 50. BIOQUIFAR@ALBENDAZOL@0@57@0@@2988
168A0080124@ALBENDAZOL 100mg/5ml SUSPENSION ORAL | FRASCO X 20ML. GEN-FAR S.A@ALBENDAZOL@0@9@0@@0
127A1670137@OSTICALCIN 70mg TABLETA | CAJA X 100. BIOQUIFAR@ALENDRONATO SODICO@6@80@0@@4
140A0130149@ALOPURINOL 300mg TABLETA | CAJA X 360. CHALVER@ALOPURINOL@30@210@0@@0
198A0130150@ALOPURINOL 100mg TABLETA | CAJA X 100. LAFRANCOL@ALOPURINOL@180@450@0@@0
1104A0160173@ACETATO DE ALUMINIO 0.059% LOCION | FRASCO X 120ml. LICOL@ALUMINIO ACETATO@2@0@4@@1
1168A0160174@ACETATO DE ALUMINIO SOBRES ph4.2mg POLVO TOPICO | CAJA X 25. GEN-FAR S.A@ALUMINIO ACETATO@0@27@0@@0
