ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
180A0370299@ABACAVIR 300mg TABLETA | FRASCO X 60. LEGRAND@ABACAVIR@15@60@0@@0
180A0440001@LAMCAVIR 300mg/600mg TABLETA | CAJA X 30. HUMAX@ABACAVIR+LAMIVUDINA@930@780@1080@@9900
1203A1480002@DUZINC  500gr CREMA | POTE X 1. DUMIAN MEDICAL S.A.S@ACEITE DE CALENDULA+OXIDO DE Z@11@18@5@@0
1161R0044008@ACEITE DE RICINO 92.4g SOLUCION ORAL | FRASCO X 30mL. PRODUCTOS DROGAM@ACEITE DE RICINO@7@0@16@@183
198A0010042@ACETAMINOFEN 500mg TABLETA | CAJA X 100. LAFRANCOL@ACETAMINOFEN@49356@51041@47672@@20587
198A0010044@ACETAMINOFEN JARABE 150mg/5ml SOLUCION ORAL | FRASCO X 60 ML. LAFRANCOL@ACETAMINOFEN@24@28@22@@0
1312A1710001@NODOL FORTE 325+30mg TABLETA | CAJA X 100. SALUSPHARMA S.A.S.@ACETAMINOFEN+CODEINA@22057@8065@36049@@0
198A0650003@DOLIREN 5mg/325mg TABLETA | CAJA X 100. LAFRANCOL@ACETAMINOFEN-HIDROCODONA BITARTRATO@997@284@1711@@0
1E101A0670001@LADEE 0.3+2mg TABLETA | CAJA X 21. EXELTIS@ACETATO DE CLORMADINONA+ITINIL@31@21@42@@0
1145A0020055@GLAUCOMED 250mg TABLETA | CAJA X 10. SCANDINAVIA@ACETAZOLAMIDA@7@40@0@@0
1125A0020001@ACETAZOLAMIDA 250mg TABLETA | CAJA X 30. PROCAPS@ACETAZOLAMIDA@7@20@0@@300
192A0050070@N-ACETILCISTEINA GRANULADO 200mg SOBRE | CAJA X 30. LA SANTE@ACETILCISTEINA@1151@657@1647@@0
168A0060097@ACICLOVIR 200mg TABLETA | CAJA X 25. GEN-FAR S.A@ACICLOVIR@1131@699@1564@@0
127A0060001@ACTIVIRAL TOPICO 5% UNGUENTO | TUBO X 15g. BIOQUIFAR@ACICLOVIR@24@41@7@@991
168A0060098@ACICLOVIR 800mg TABLETA | CAJA X 10. GEN-FAR S.A@ACICLOVIR@468@745@191@@0
120A0030063@CARDIOASPIRINA RETARD 81mg TABLETA | CAJA X 30. BAYER@ACIDO ACETIL SALICILICO@82@30@135@@0
1168A0030067@ACIDO ACETILSALICILICO 100mg TABLETA | CAJA X 900. GEN-FAR S.A@ACIDO ACETIL SALICILICO@3915@1465@6366@@249
150A0310196@VITAMINA C  500mg TABLETA | CAJA X 250. ECAR@ACIDO ASCORBICO@618@277@960@@47485
1115A0310283@VITAMINA C 500mg TABLETA | CAJA X 300. NOVAMED@ACIDO ASCORBICO@322@0@646@@0
1125A1930001@FENOVAS 20mg/135mg CAPSULA | CAJA X 30. PROCAPS@ACIDO FENOFIBRICO/ROSUVAST@97@0@195@@0
1125A1930002@FENOVAS 10mg/135mg CAPSULA | CAJA X 30. PROCAPS@ACIDO FENOFIBRICO/ROSUVAST@7@30@0@@0
1156A1930001@STAFEN 10/135mg TABLETA | CAJA X 30. LAFRANCOL@ACIDO FENOFIBRICO/ROSUVAST@90@120@60@@60
150F0142039@ACIDO FOLICO 5mg TABLETA | CAJA X 100. ECAR@ACIDO FOLICO@655@862@449@@15501
150F0142041@ACIDO FOLICO 1mg TABLETA | CAJA X 600. ECAR@ACIDO FOLICO@3188@2970@3407@@59550
199F0142038@ACIDO FOLICO 1mg TABLETA | CAJA X 300. LAPROFF@ACIDO FOLICO@569@121@1019@@39900
168A336930668@ACIDO FUSIDICO 2% CREMA | TUBO X 15G. GEN-FAR S.A@ACIDO FUSIDICO@58@79@38@@1
166I0212570@IBANAT 150mg TABLETA | CAJA X 1. GARMISCH@ACIDO IBANDRONICO@1@36@0@@0
1172I0210001@MELIBA 150mg TABLETA | CAJA X 1. ZAMBON@ACIDO IBANDRONICO@85@57@114@@0
1145A1600637@ACRYLARM OFTALMICA 0.25% GEL | TUBO X 10G. SCANDINAVIA@ACIDO POLIACRILICO@62@13@112@@20
1145A0860462@BETARRETIN H 4+0.05% CREMA | TUBO X 30GR. SCANDINAVIA@ACIDO RETINOICO+HIDROQUINONA@2@3@3@@0
