ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
180A0370299@ABACAVIR 300MG TABLETA | FRASCO X 60. LEGRAND@ABACAVIR@30@120@0@@0
1312A0440001@ABACAVIR+LAMIVUDINA 600+300MG TABLETA | CAJA X 30. SALUSPHARMA S.A.S.@ABACAVIR+LAMIVUDINA@37@0@75@@0
135A0460337@ORENCIA 125mg/mL SOLUCION INYECTABLE | CAJA X 4. BRISTOL@ABATACEPT@3@4@2@@0
1203A1480002@DUZIN C 500 GR CREMA | POTE X 1. DUMIAN MEDICAL S.A.S@ACEITE DE CALENDULA+OXIDO DE Z@0@5@0@@0
1161A0480342@OMEGA 3 1000MG+400UI 1000 TABLETA | CAJA X 100. VARIOS E IMPORTADOS@ACEITE DE PESCADO + VITAMINA E@0@100@0@@0
1714G0380002@ACEITE DE RICINO 30ML SOLUCION ORAL | FRASCO X 1. LABORATORIO NATURQUIM@ACEITE DE RICINO@5@22@0@@10
1161R0044011@ACEITE DE RICINO 60 ML SOLUCION ORAL | FRASCO X 60 ML. VARIOS E IMPORTADOS@ACEITE DE RICINO@1@3@0@@1
1714R0040001@ACEITE DE RICINO 60ML SOLUCION ORAL | CAJA X 1. LABORATORIO NATURQUIM@ACEITE DE RICINO@2@0@5@@0
198A0010042@ACETAMINOFEN 500mg TABLETA | CAJA X 100. LAFRANCOL@ACETAMINOFEN@45143@67504@22783@@2110
198A0010044@ACETAMINOFEN JARABE 150 MG/5ML SOLUCION ORAL | FRASCO X 60 ML. LAFRANCOL@ACETAMINOFEN@5@12@0@@12
1312A1710001@NODOL FORTE 325+30MG TABLETA | CAJA X 100. SALUSPHARMA S.A.S.@ACETAMINOFEN+CODEINA@4540@0@9080@@0
1115A1710544@ACETAMINOFEN+CODEINA 325+30mg TABLETA | CAJA X 200. NOVAMED@ACETAMINOFEN+CODEINA@3206@8978@0@@0
1144A1710012@WINADEINE F 325MG/30MG TABLETA | CAJA X 30. SANOFI-AVENTIS@ACETAMINOFEN+CODEINA@0@30@0@@0
1203A1710001@DOLAC  500MG+30MG TABLETA | CAJA X 250. DUMIAN MEDICAL S.A.S@ACETAMINOFEN+CODEINA@2750@0@5500@@0
198A0650001@DOLIREN RECUBIERTA 5MG/325MG TABLETA | CAJA X 10. LAFRANCOL@ACETAMINOFEN-HIDROCODONA BITARTRATO@90@350@0@@0
1101A0650001@DOLOFF 5MG+325MG TABLETA | CAJA X 30. LEGRAND@ACETAMINOFEN-HIDROCODONA BITARTRATO@547@0@1095@@0
1175A0640426@TIZAFEN 350MG+2MG TABLETA | CAJA X 20. SIEGFRIED@ACETAMINOFEN+TIZANIDINA@10@20@0@@20
127A0050070@ZIFLUVIS GRANULADO 200 MG SOBRE | CAJA X 60. BIOQUIFAR@ACETILCISTEINA@801@1602@2@@26638
192A0050071@N-ACETILCISTEINA GRANULADO 600MG SOBRE | CAJA X 10. LA SANTE@ACETILCISTEINA@452@771@133@@0
127A0050068@ZIFLUVIS POLVO PARA RECONSTITUIR 2g/ 100MG/5ML SOLUCION ORAL | FRASCO X 150ML. BIOQUIFAR@ACETILCISTEINA@2@14@0@@270
168A0060100@ACICLOVIR 5% UNGUENTO | TUBO X 15GR. GEN-FAR S.A@ACICLOVIR@7@12@4@@0
1173A0060110@VIREX 400MG TABLETA | CAJA X 35. GRUNENTHAL@ACICLOVIR@37@0@75@@0
168A0060097@ACICLOVIR 200MG TABLETA | CAJA X 25. GEN-FAR S.A@ACICLOVIR@66@153@0@@0
168A0060098@ACICLOVIR 800MG TABLETA | CAJA X 10. GEN-FAR S.A@ACICLOVIR@125@162@88@@0
120A0030060@CARDIOASPIRINA RETARD 100MG TABLETA | CAJA X 30. BAYER@ACIDO ACETIL SALICILICO@571@495@648@@0
120A0030063@CARDIOASPIRINA RETARD 81MG TABLETA | CAJA X 30. BAYER@ACIDO ACETIL SALICILICO@150@180@120@@0
1168A0030067@ACIDO ACETILSALICILICO 100 MG TABLETA | CAJA X 900. GEN-FAR S.A@ACIDO ACETIL SALICILICO@20023@29730@10317@@408210
150A0310196@VITAMINA C  500MG TABLETA | CAJA X 250. ECAR@ACIDO ASCORBICO@845@2360@0@@45825
1156A1930002@STAFEN 135/20MG TABLETA | CAJA X 30. LAFRANCOL@ACIDO FENOFIBRICO/ROSUVAST@22@60@0@@630
1156A1930001@STAFEN  135/10MG TABLETA | CAJA X 30. LAFRANCOL@ACIDO FENOFIBRICO/ROSUVAST@52@30@75@@0
198A1930003@STAFEN 135/5MG TABLETA | CAJA X 30. LAFRANCOL@ACIDO FENOFIBRICO/ROSUVAST@0@60@0@@30
150F0142039@ACIDO FOLICO 5 MG TABLETA | CAJA X 100. ECAR@ACIDO FOLICO@383@870@0@@25821
150F0142041@ACIDO FOLICO 1MG TABLETA | CAJA X 600. ECAR@ACIDO FOLICO@2675@4820@530@@73060
168A336930668@ACIDO FUSIDICO 2% CREMA | TUBO X 15G. GEN-FAR S.A@ACIDO FUSIDICO@33@53@14@@8
1145A0760449@EMOLIN NEO 240G EMULSION | CAJA X 1. SCANDINAVIA@ACIDO HIALURONICO@4@0@10@@0
168I0210001@ACIDO IBANDRONICO 150MG TABLETA | CAJA X 1. GEN-FAR S.A@ACIDO IBANDRONICO@22@20@26@@0
1172I0210001@MELIBA 150 MG TABLETA | CAJA X 1. ZAMBON@ACIDO IBANDRONICO@0@18@0@@0
1125A0390312@EPAX EC 60% 720mg CAPSULA | CAJA X 30. DIABETRICS HEALTHACARE SAS@ACIDO OMEGA+ACIDO DOCOSAHEXAENOICO@15@150@0@@0
1145A1600637@ACRYLARM OFTALMICA 0,25% GEL O JALEA | TUBO X 10G. SCANDINAVIA@ACIDO POLIACRILICO@31@52@11@@0
1145A0860463@BETARRETIN H 0.5+4G LOCION | FRASCO X 60ML. SCANDINAVIA@ACIDO RETINOICO+HIDROQUINONA@0@2@0@@0
1145A0860462@BETARRETIN H 4+0.05% CREMA | TUBO X 30GR. SCANDINAVIA@ACIDO RETINOICO+HIDROQUINONA@0@1@0@@1
1175Z9995305@CLIMBASEB SHAMPOO 120ML EMULSION | FRASCO X 1. SIEGFRIED@ACIDO SALICILICO+ALOE VERA@0@0@1@@0
1429A0910001@LIPOTIC 600 MG TABLETA | CAJA X 30. DIABETRICS HEALTHACARE SAS@ACIDO TIOCTICO@82@60@105@@30
165A0970486@CETAPHIL ADVANCED MOISTURIZER LOCION ULTRA HUMECTANTE 226G LOCION | CAJA X 1. GALDERMA@ACRILATOS+GLICEROL+VITAMINA E@5@0@11@@0
165A1080520@CETAPHIL ADVANCED ULTRA HUMECTANTE . LOCION | FRASCO X 226 ML. GALDERMA@ACRILATOS+GLICEROL+VITAMINA E@0@1@0@@0
1161Z9995120@KY GEL LUBRICANTE 100 GR GEL O JALEA | CAJA X 1. VARIOS E IMPORTADOS@AGUA+GLICERINA+PETROLEO+ALCOHO@3@0@7@@0
1161A336970001@AGUA TERMAL  300ML SOLUCION TOPICA | CAJA X 1. VARIOS E IMPORTADOS@AGUA - NITROGENO@2@1@4@@0
127A0080122@FINAPAR 200MG TABLETA | CAJA X 50. BIOQUIFAR@ALBENDAZOL@73@201@0@@10373
127A0080123@FINAPAR SACHET 20MG/ML X 20ML SUSPENSION ORAL | CAJA X 50. BIOQUIFAR@ALBENDAZOL@2@5@0@@6604
165A1080518@CETAPHIL ADVANCED MOISTURIZER ULTRAHUMECTANTE  . LOCION | FRASCO X 473ML. GALDERMA@ALCOHOL CETILICO+LAURIL SULFATO DE SODIO@0@0@1@@0
168A1670649@ALENDRONATO 70MG TABLETA | CAJA X 4. GEN-FAR S.A@ALENDRONATO SODICO@325@120@531@@0
127A1670137@OSTICALCIN 70mg TABLETA | CAJA X 100. BIOQUIFAR@ALENDRONATO SODICO@0@400@0@@23824
1144A1120524@XATRAL OD RETARD 10mg TABLETA | CAJA X 30. SANOFI-AVENTIS@ALFUZOSINA@30@0@60@@0
159A1740014@REFLUFIN CEREZA 2,5g/100ml SUSPENSION ORAL | FRASCO X 360ml. FARMASER@ALGINATO DE SODIO@2@3@2@@0
155A1690660@MILPAX CEREZA 2.5g+2.67g SUSPENSION ORAL | FRASCO X 360mL. FARMA@ALGINATO SODIO +SODIO BICARBONATO@21@54@0@@0
140A0130149@ALOPURINOL 300MG TABLETA | CAJA X 360. CHALVER@ALOPURINOL@453@1020@0@@0
198A0130150@ALOPURINOL 100MG TABLETA | CAJA X 100. LAFRANCOL@ALOPURINOL@1723@2988@459@@100
154A0140160@ALPRAZOLAM 0.25MG TABLETA | CAJA X 30. EXPOFARMA@ALPRAZOLAM@688@1970@0@@55710
168A0140001@ALPRAZOLAM 0.5 MG TABLETA | CAJA X 30. GEN-FAR S.A@ALPRAZOLAM@1014@1867@162@@30
111A0150166@SORIDERM SHAMPOO 5+0.2G EMULSION | FRASCO X 250mL. ANGLOPHARMA@ALQUITRAN DE HULLA+ALANTOINA@1@2@0@@29
120A0160169@ACID MANTLE PH 4.5 LOCION | FRASCO X 400ML. BAYER@ALUMINIO ACETATO@1@0@3@@0
168A0160001@ACETATO DE ALUMINIO pH 4.5 LOCION | FRASCO X 120mL. GEN-FAR S.A@ALUMINIO ACETATO@138@270@8@@0
1168A0160174@ACETATO DE ALUMINIO SOBRES Ph4.2MG POLVO PARA DISOLVER | CAJA X 25. GEN-FAR S.A@ALUMINIO ACETATO@0@11@0@@0
1203A0160001@ALUCET PH 4.5 CREMA | TUBO X 60g. DUMIAN MEDICAL S.A.S@ALUMINIO ACETATO@4@0@9@@0
1144A0170175@PEPSAMAR TABLETAS 234MG TABLETA | CAJA X 100. SANOFI-AVENTIS@ALUMINIO HIDROXIDO@0@80@0@@0
1173A0180186@HIDROXIDO ALUMINIO+SIMEITICONA+MAGNESIO HIDROXIDO 6.15 MG/100ML SUSPENSION ORAL | FRASCO X 360ML. GRUNENTHAL@ALUMINIO HIDROXIDO+MAGNESIO HIDROXIDO+SIMETICONA@151@0@303@@0
1173A0180185@ACIBIOGEL+SIMETICONA 200+200+20 MG/5ML SUSPENSION ORAL | FRASCO X 360ML. GRUNENTHAL@ALUMINIO HIDROXIDO+MAGNESIO HIDROXIDO+SIMETICONA@195@602@0@@1
1115A0190189@ZINTERGIA 100mg CAPSULA | CAJA X 300. NOVAMED@AMANTADINA@1185@2170@200@@1720
199A1150536@AMBROXOL JARABE 30MG/5ML SOLUCION ORAL | FRASCO X 120ML. LAPROFF@AMBROXOL CLORHIDRATO@13@45@0@@931
199A1150535@AMBROXOL JARABE 15MG/5ML SOLUCION ORAL | FRASCO X 120ML. LAPROFF@AMBROXOL CLORHIDRATO@0@6@0@@108
1163A0200198@AMIKACINA 500mg/2ml SOLUCION INYECTABLE | CAJA X 10. VITALIS@AMIKACINA@10@36@0@@1763
1110A1180543@MODURETIC 5+50mg TABLETA | CAJA X 30. MERCK SHARP DOMME@AMILORIDA+HIDROCLOROTIAZIDA@0@30@0@@0
192A0230211@AMIODARONA 200MG TABLETA | CAJA X 10. LA SANTE@AMIODARONA CLORHIDRATO@770@580@960@@0
1168A0230001@AMIODARONA  200MG TABLETA | CAJA X 10. GEN-FAR S.A@AMIODARONA CLORHIDRATO@115@1000@0@@0
1168A0240223@AMITRIPTILINA 25 MG TABLETA | CAJA X 300. GEN-FAR S.A@AMITRIPTILINA CLORHIDRATO@828@1511@147@@10417
1121A0400319@NORVAS 5MG TABLETA | CAJA X 30. PFIZER@AMLODIPINO@90@150@30@@0
1121A0400318@NORVAS 10MG TABLETA | CAJA X 30. PFIZER@AMLODIPINO@90@90@90@@0
168A0400313@AMLODIPINO 10MG TABLETA | CAJA X 300. GEN-FAR S.A@AMLODIPINO@3821@5550@2093@@270
