ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
198A0010042@ACETAMINOFEN 500mg TABLETA | CAJA X 100. LAFRANCOL@ACETAMINOFEN@3273@2146@4401@@1650
198A0010044@ACETAMINOFEN JARABE 150 MG/5ML SOLUCION ORAL | FRASCO X 60 ML. LAFRANCOL@ACETAMINOFEN@2@8@0@@482
1312A1710001@NODOL FORTE 325+30MG TABLETA | CAJA X 100. SALUSPHARMA S.A.S.@ACETAMINOFEN+CODEINA@1050@1290@810@@700
1101A0650001@DOLOFF 5MG+325MG TABLETA | CAJA X 30. LEGRAND@ACETAMINOFEN-HIDROCODONA BITARTRATO@70@0@140@@10
1125A0020001@ACETAZOLAMIDA 250MG TABLETA | CAJA X 30. PROCAPS@ACETAZOLAMIDA@10@110@0@@240
192A0050071@N-ACETILCISTEINA GRANULADO 600MG SOBRE | CAJA X 10. LA SANTE@ACETILCISTEINA@2@2@3@@0
1158A0050086@AFLUX LISTO JARABE 2G SOLUCION ORAL | FRASCO X 150ML. TECNOQUIMICAS@ACETILCISTEINA@0@1@0@@0
127A0050068@ZIFLUVIS POLVO PARA RECONSTITUIR 2g/ 100MG/5ML SOLUCION ORAL | FRASCO X 150ML. BIOQUIFAR@ACETILCISTEINA@1@3@0@@184
168A0060098@ACICLOVIR 800MG TABLETA | CAJA X 10. GEN-FAR S.A@ACICLOVIR@0@30@0@@0
168A0060097@ACICLOVIR 200MG TABLETA | CAJA X 25. GEN-FAR S.A@ACICLOVIR@0@80@0@@25
120A0030063@CARDIOASPIRINA RETARD 81MG TABLETA | CAJA X 30. BAYER@ACIDO ACETIL SALICILICO@30@30@30@@0
1168A0030067@ACIDO ACETILSALICILICO 100 MG TABLETA | CAJA X 900. GEN-FAR S.A@ACIDO ACETIL SALICILICO@2140@2225@2055@@361410
120A0030060@CARDIOASPIRINA RETARD 100MG TABLETA | CAJA X 30. BAYER@ACIDO ACETIL SALICILICO@40@120@0@@0
150A0310196@VITAMINA C  500MG TABLETA | CAJA X 250. ECAR@ACIDO ASCORBICO@141@13@269@@32075
1115A0310283@VITAMINA C 500MG TABLETA | CAJA X 300. NOVAMED@ACIDO ASCORBICO@18@105@0@@44400
1156A1930001@STAFEN  135/10MG TABLETA | CAJA X 30. LAFRANCOL@ACIDO FENOFIBRICO/ROSUVAST@0@120@0@@0
150F0142041@ACIDO FOLICO 1MG TABLETA | CAJA X 600. ECAR@ACIDO FOLICO@732@969@496@@32260
168A336930668@ACIDO FUSIDICO 2% CREMA | TUBO X 15G. GEN-FAR S.A@ACIDO FUSIDICO@0@2@0@@8
1125A0310284@DRONIBAN 6mg/6ml SOLUCION INYECTABLE | CAJA X 1. PROCAPS@ACIDO IBANDRONICO@0@1@0@@0
198I0212572@OSEBAN 3mg/3ml SOLUCION INYECTABLE | CAJA X 1. LAFRANCOL@ACIDO IBANDRONICO@0@2@0@@0
1112I0212572@IBANDROMET 150MG TABLETA | CAJA X 1. SIEGFRIED@ACIDO IBANDRONICO@1@2@0@@0
1145A1600637@ACRYLARM OFTALMICA 0,25% GEL O JALEA | TUBO X 10G. SCANDINAVIA@ACIDO POLIACRILICO@4@2@6@@0
1163A0930476@ACIDO ZOLEDRONICO 4mg SOLUCION INYECTABLE | CAJA X 1. VITALIS@ACIDO ZOLEDRONICO@0@1@0@@22
1116A0940477@ACLASTA-SANDOZ 5mg SOLUCION INYECTABLE | FRASCO X 100ml. NOVARTIS@ACIDO ZOLEDRONICO@0@1@0@@0
127A0080123@FINAPAR SACHET 20MG/ML X 20ML SUSPENSION ORAL | CAJA X 50. BIOQUIFAR@ALBENDAZOL@2@44@0@@5959
127A0080122@FINAPAR 200MG TABLETA | CAJA X 50. BIOQUIFAR@ALBENDAZOL@6@31@0@@16915
168A1670649@ALENDRONATO 70MG TABLETA | CAJA X 4. GEN-FAR S.A@ALENDRONATO SODICO@29@20@39@@0
130A0110002@ALDOMET 250mg TABLETA | CAJA X 30. ASPEN@ALFAMETILDOPA@20@60@0@@0
155A1690660@MILPAX CEREZA 2.5g+2.67g SUSPENSION ORAL | FRASCO X 360mL. FARMA@ALGINATO SODIO +SODIO BICARBONATO@1@1@2@@0
140A0130149@ALOPURINOL 300MG TABLETA | CAJA X 360. CHALVER@ALOPURINOL@30@300@0@@0
198A0130150@ALOPURINOL 100MG TABLETA | CAJA X 100. LAFRANCOL@ALOPURINOL@98@135@62@@100
168A0160001@ACETATO DE ALUMINIO pH 4.5 LOCION | FRASCO X 120mL. GEN-FAR S.A@ALUMINIO ACETATO@0@6@0@@0
1168A0160174@ACETATO DE ALUMINIO SOBRES Ph4.2MG POLVO PARA DISOLVER | CAJA X 25. GEN-FAR S.A@ALUMINIO ACETATO@0@25@0@@0
1173A0180185@ACIBIOGEL+SIMETICONA 200+200+20 MG/5ML SUSPENSION ORAL | FRASCO X 360ML. GRUNENTHAL@ALUMINIO HIDROXIDO+MAGNESIO HIDROXIDO+SIMETICONA@12@5@20@@1
192A0230211@AMIODARONA 200MG TABLETA | CAJA X 10. LA SANTE@AMIODARONA CLORHIDRATO@40@55@25@@0
1168A0240223@AMITRIPTILINA 25 MG TABLETA | CAJA X 300. GEN-FAR S.A@AMITRIPTILINA CLORHIDRATO@75@335@0@@9817
168A0400313@AMLODIPINO 10MG TABLETA | CAJA X 300. GEN-FAR S.A@AMLODIPINO@60@210@0@@900
168A0400314@AMLODIPINO 5MG TABLETA | CAJA X 300. GEN-FAR S.A@AMLODIPINO@880@615@1145@@10
1101A1820002@CARDIK A 5/160 TABLETA | CAJA X 28. LEGRAND@AMLODIPINO+VALSARTAN@9@28@0@@56
1101A1860001@CARDIK 3 160/10/12.5 MG TABLETA | CAJA X 28. LEGRAND@AMLODIPINO+VALSARTAN+HIDROCLOR@37@0@75@@0
192A0250004@AMOXICILINA 500MG TABLETA O CAPSULA | CAJA X 200. LA SANTE@AMOXICILINA@85@338@0@@10
192A0250002@AMOXICILINA 250MG/5ML SUSPENSION ORAL | FRASCO X 100ML. LA SANTE@AMOXICILINA@2@4@0@@0
1116A1260561@CURAM 500MG/125MG TABLETA | CAJA X 12. NOVARTIS@AMOXICILINA+ACIDO CLAVULANICO@0@16@0@@2723
192A0270258@AMPICILINA 500MG TABLETA O CAPSULA | CAJA X 100. LA SANTE@AMPICILINA@9@48@0@@30
135A1320002@ELIQUIS 5MG TABLETA | CAJA X 60. PFIZER@APIXABAN@20@0@40@@0
1312A0380002@HIVATAX 300mg CAPSULA | CAJA X 30. SALUSPHARMA S.A.S.@ATAZANAVIR@0@30@0@@0
1116A1340002@ATORVASTATINA-SANDOZ 20mg TABLETA | CAJA X 10. NOVARTIS@ATORVASTATINA@60@930@0@@0
1203A1340001@ATORVAT 20MG TABLETA | CAJA X 300. DUMIAN MEDICAL S.A.S@ATORVASTATINA@570@480@660@@2416
168A1340586@ATORVASTATINA 10MG TABLETA | CAJA X 10. GEN-FAR S.A@ATORVASTATINA@20@90@0@@30
150A1340002@ATORVASTATINA 40MG TABLETA | CAJA X 500. ECAR@ATORVASTATINA@785@0@1570@@155120
1N002A0340001@AZATIOPRINA 50 MG TABLETA | CAJA X 100. NEXT PHARMA SOURCING S.A.S.@AZATIOPRINA@0@150@0@@300
168A1410627@AZITROMICINA 200MG/5ML SUSPENSION ORAL | FRASCO X 15ML. GEN-FAR S.A@AZITROMICINA@0@3@0@@0
168A1410626@AZITROMICINA 500MG TABLETA | CAJA X 3. GEN-FAR S.A@AZITROMICINA@12@15@9@@309
140B0020680@NABUMEX  50MCG BUCAL SUSPENSION PARA INHALAR | FRASCO X 200 DOSIS. CHALVER@BECLOMETASONA DIPROPIONATO@0@9@0@@20
1990B0020001@BECLONOSE INH NASAL 50MCG SUSPENSION PARA INHALAR | FRASCO X 22 ML. SALUSPHARMA S.A.S.@BECLOMETASONA DIPROPIONATO@0@3@0@@0
1416B0020003@BECLORT INHALADOR BUCAL 250 MCG SUSPENSION PARA INHALAR | FRASCO X 1. AVALON PHARMACEUTICAL S.A@BECLOMETASONA DIPROPIONATO@0@15@0@@1398
1416B0020002@BECLORT INHALADOR BUCAL 50 MCG SUSPENSION PARA INHALAR | FRASCO X 1. AVALON PHARMACEUTICAL S.A@BECLOMETASONA DIPROPIONATO@6@0@12@@0
1158B0030001@BENZOATO DE BENCILO 30% LOCION | FRASCO X 120ML. TECNOQUIMICAS@BENCILO BENZOATO@0@2@0@@274
1704B0220002@HISTIVERT 16 MG TABLETA | CAJA X 30. EUROFARMA COLOMBIA S.A.S@BETAHISTINA@0@60@0@@0
192B0220001@BETAHISTINA 16MG TABLETA | CAJA X 20. LA SANTE@BETAHISTINA@0@60@0@@10
1168B0220759@BETAHISTINA 8MG TABLETA | CAJA X 50. GEN-FAR S.A@BETAHISTINA@20@45@0@@100
1163B0040020@BETAMETASONA 4mg/1ml SOLUCION INYECTABLE | CAJA X 10. VITALIS@BETAMETASONA@0@15@0@@683
168B0040693@BETAMETASONA 0.1% CREMA | TUBO X 40GR. GEN-FAR S.A@BETAMETASONA@8@11@6@@2
1126B0050001@BETAMETASONA 4mg/1ml SOLUCION INYECTABLE | CAJA X 100. PROCLIN@BETAMETASONA@0@30@0@@2
1158B0080722@BIPERIDENO 2MG TABLETA | CAJA X 300. TECNOQUIMICAS@BIPERIDENO@0@300@0@@62270
180B0100726@BISACODILO RETARD 5mg TABLETA | CAJA X 100. HUMAX@BISACODILO@0@445@0@@38850
150B0100726@FARMALAX RETARD 5mg TABLETA | CAJA X 500. ECAR@BISACODILO@115@0@230@@89
1151B0440812@AGGLAD OFTENO 2MG/ML SOLUCION OFTALMICAS | FRASCO X 5ML. SOPHIA@BRIMONIDINA@1@1@1@@592
140B0550001@INFLABON 50MCG BUCAL AEROSOL | FRASCO X 200DOSIS. CHALVER@BUDESONIDA@0@1@0@@2
130B0390001@BUDEMAR DUO 200MCG+6MCG  SUSPENSION PARA INHALAR | FRASCO X 120DOSIS. BIOTOSCANA@BUDESONIDA + FORMOTEROL@1@7@0@@342
1115B0390799@AEROVIAL CON INHALADOR 200mcg+6mcg CAPSULA | CAJA X 1. NOVAMED@BUDESONIDA + FORMOTEROL@4@0@9@@0
1157L0562966@ODRANAL RETARD 150mg TABLETA | CAJA X 30. TECNOFARMA@BUPROPION@10@30@0@@0
1721C1040001@CALCIFORTE-D 600mg+200UI TABLETA | CAJA X 30. MEDIGEN S.A.S@CALCIO CARBONATO+VITAMINA D@760@300@1220@@0
1158C102A1233@BIOCALCIUM D 500MG/200UI POLVO PARA DISOLVER | CAJA X 30 SOBRES. TECNOQUIMICAS@CALCIO CARBONATO+VITAMINA D@100@30@170@@0
1125C0030862@CALCITRIOL 0.50 MCG TABLETA | CAJA X 30. PROCAPS@CALCITRIOL@30@120@0@@20
1125C0030861@CALCITRIOL 0.25mcg CAPSULA | CAJA X 30. PROCAPS@CALCITRIOL@420@420@420@@6020
199C0040874@CAPTOPRIL 50MG TABLETA | CAJA X 300. LAPROFF@CAPTOPRIL@20@240@0@@31800
136C0040004@CAPTOPRIL 25MG TABLETA | CAJA X 30. BUSSIE@CAPTOPRIL@10@80@0@@30
199C0050882@CARBAMAZEPINA 200MG TABLETA | CAJA X 300. LAPROFF@CARBAMAZEPINA@142@156@129@@45278
1121C1011229@SICCAFLUID  2.5mg/g UNGUENTO OFTALMICO | FRASCO X 10g. QUIDECA@CARBOMERO 974 P@0@1@0@@27
16C1071258@OPTIVE 5%+9% SOLUCION OFTALMICAS | FRASCO X 15ml. ALLERGAN@CARBOXIMETILCELULOSA+GLICERINA@2@0@5@@0
1119C1061250@FREEGEN 5MG SOLUCION OFTALMICAS | FRASCO X 15ML. ESPECIALIDADES OFT@CARBOXIMETILCELULOSA SODICA@10@0@21@@0
1125C1061253@TEARSOFT 0,5% SOLUCION OFTALMICAS | FRASCO X 15ML. PROCAPS@CARBOXIMETILCELULOSA SODICA@10@15@6@@0
1116C0651144@CORYOL 25MG TABLETA | CAJA X 100. NOVARTIS@CARVEDILOL@43@0@87@@200
192C0650001@CARVEDILOL 6.25MG TABLETA | CAJA X 60. LA SANTE@CARVEDILOL@500@450@550@@150
1168C0650002@CARVEDILOL 25mg TABLETA | CAJA X 300. WINTHROOP@CARVEDILOL@46@100@0@@0
1116C0651143@CORYOL 12.5MG TABLETA | CAJA X 100. NOVARTIS@CARVEDILOL@190@170@210@@30
168C0080906@CEFALEXINA 250MG/5ML SUSPENSION ORAL | FRASCO X 60ML. GEN-FAR S.A@CEFALEXINA@0@6@0@@0
168C0080907@CEFALEXINA 500MG TABLETA O CAPSULA | CAJA X 300. GEN-FAR S.A@CEFALEXINA@168@306@31@@24
168C1121274@CELECOXIB 100mg CAPSULA | CAJA X 20. GEN-FAR S.A@CELECOXIB@0@30@0@@0
168C0661146@CETIRIZINA 10mg TABLETA | CAJA X 10. GEN-FAR S.A@CETIRIZINA@10@10@10@@10
199C0661156@CETIRIZINA 10MG TABLETA | CAJA X 300. LAPROFF@CETIRIZINA@60@120@0@@420
192C0661151@CETIRIZINA JARABE 5MG/5ML  SOLUCION ORAL | FRASCO X 60ml. LA SANTE@CETIRIZINA@0@3@0@@0
1151C0140955@MODUSIK A 1MG/ML SOLUCION OFTALMICAS | FRASCO X 5ML. SOPHIA@CICLOSPORINA@0@2@0@@0
16C0140946@RESTASIS 0,5mg/mL SOLUCION OFTALMICAS | CAJA X 30. ALLERGAN@CICLOSPORINA@0@1@0@@0
1158C1241318@ANGIOVAN 50MG TABLETA | CAJA X 10. TECNOQUIMICAS@CILOSTAZOL@20@40@0@@4690
168C1270001@CIPROFIBRATO 100 MG TABLETA | CAJA X 20. GEN-FAR S.A@CIPROFIBRATO@30@40@20@@0
198C0150970@CIPROFLOXACINA 500MG TABLETA | CAJA X 100. LAFRANCOL@CIPROFLOXACINA@12@122@0@@0
155C0891206@CALCIBON D 315mg+800UI TABLETA | CAJA X 30. FARMA@CITRATO DE CALCIO+VITAMINA D3@30@0@60@@0
1116C0461126@BINOCLAR-SANDOZ 500MG TABLETA | CAJA X 10. NOVARTIS@CLARITROMICINA@3@78@0@@0
1158C0190001@CLINDAMICINA 100MG OVULO O TABLETA VAGINAL | CAJA X 7. TECNOQUIMICAS@CLINDAMICINA@2@21@0@@919
1125C0191009@CLINDAMICINA 2% CREMA VAGINAL | TUBO X 40GR. PROCAPS@CLINDAMICINA@0@2@0@@0
192C0191007@CLINDAMICINA 300mg CAPSULA | CAJA X 24. LA SANTE@CLINDAMICINA@0@38@0@@24
