ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
199A0010047@ACETAMINOFEN JARABE 150mg/5ml SOLUCION ORAL | FRASCO X 60ML. LAPROFF@ACETAMINOFEN@0@1@0@@1
198A0010044@ACETAMINOFEN JARABE 150 MG/5ML SOLUCION ORAL | FRASCO X 60 ML. LAFRANCOL@ACETAMINOFEN@0@2@0@@509
198A0010042@ACETAMINOFEN 500mg TABLETA | CAJA X 100. LAFRANCOL@ACETAMINOFEN@150@486@0@@1150
1203A1710001@DOLAC  500MG+30MG TABLETA | CAJA X 250. DUMIAN MEDICAL S.A.S@ACETAMINOFEN+CODEINA@0@98@0@@0
127A0050071@ZIFLUVIS GRANULADO 200 MG  SOBRE | CAJA X 30. BIOQUIFAR@ACETILCISTEINA@0@60@0@@0
127A0050070@ZIFLUVIS GRANULADO 200mg SOBRE | CAJA X 60. BIOQUIFAR@ACETILCISTEINA@0@120@0@@16378
168A0060100@ACICLOVIR 5% UNGUENTO | TUBO X 15GR. GEN-FAR S.A@ACICLOVIR@0@2@0@@4
1168A0030067@ACIDO ACETILSALICILICO 100 MG TABLETA | CAJA X 900. GEN-FAR S.A@ACIDO ACETIL SALICILICO@112@780@0@@363210
150A0310196@VITAMINA C  500MG TABLETA | CAJA X 250. ECAR@ACIDO ASCORBICO@17@160@0@@29825
127A0080123@FINAPAR SACHET 20MG/ML X 20ML SUSPENSION ORAL | CAJA X 50. BIOQUIFAR@ALBENDAZOL@0@4@0@@5754
199A0080135@ALBENDAZOL 200MG TABLETA | CAJA X 50. LAPROFF@ALBENDAZOL@0@2@0@@132
127A0080122@FINAPAR 200MG TABLETA | CAJA X 50. BIOQUIFAR@ALBENDAZOL@1@40@0@@16195
192A1670001@ALENDRONATO 70MG TABLETA | CAJA X 4. LA SANTE@ALENDRONATO SODICO@0@16@0@@0
168A0160001@ACETATO DE ALUMINIO pH 4.5 LOCION | FRASCO X 120mL. GEN-FAR S.A@ALUMINIO ACETATO@0@3@0@@0
1104A0160173@ACETATO DE ALUMINIO 0.059% LOCION | FRASCO X 120ML. LICOL@ALUMINIO ACETATO@0@5@0@@0
1173A0180186@HIDROXIDO ALUMINIO+SIMEITICONA+MAGNESIO HIDROXIDO 6.15 MG/100ML SUSPENSION ORAL | FRASCO X 360ML. GRUNENTHAL@ALUMINIO HIDROXIDO+MAGNESIO HIDROXIDO+SIMETICONA@0@9@0@@0
1168A0240223@AMITRIPTILINA 25 MG TABLETA | CAJA X 300. GEN-FAR S.A@AMITRIPTILINA CLORHIDRATO@7@630@0@@9817
168A0400314@AMLODIPINO 5MG TABLETA | CAJA X 300. GEN-FAR S.A@AMLODIPINO@22@762@0@@10
192A0250004@AMOXICILINA 500MG TABLETA O CAPSULA | CAJA X 200. LA SANTE@AMOXICILINA@27@69@0@@10
192A0250002@AMOXICILINA 250MG/5ML SUSPENSION ORAL | FRASCO X 100ML. LA SANTE@AMOXICILINA@0@2@0@@10
192A0250003@AMOXICILINA 500 MG TABLETA O CAPSULA | CAJA X 50. LA SANTE@AMOXICILINA@4@0@9@@0
1116A1340002@ATORVASTATINA-SANDOZ 20mg TABLETA | CAJA X 10. NOVARTIS@ATORVASTATINA@45@0@90@@0
1203A1340001@ATORVAT 20MG TABLETA | CAJA X 300. DUMIAN MEDICAL S.A.S@ATORVASTATINA@82@240@0@@3116
150A1340002@ATORVASTATINA 40MG TABLETA | CAJA X 500. ECAR@ATORVASTATINA@0@470@0@@144620
136A1340585@ATORVASTATINA 40MG TABLETA | CAJA X 50. BUSSIE@ATORVASTATINA@7@140@0@@50
1168A1340001@ATORVASTATINA 40 MG TABLETA | CAJA X 150. GEN-FAR S.A@ATORVASTATINA@30@70@0@@0
168A1410626@AZITROMICINA 500MG TABLETA | CAJA X 3. GEN-FAR S.A@AZITROMICINA@0@12@0@@273
1416B0020002@BECLORT INHALADOR BUCAL 50 MCG SUSPENSION PARA INHALAR | FRASCO X 1. AVALON PHARMACEUTICAL S.A@BECLOMETASONA DIPROPIONATO@0@5@0@@0
192B0220001@BETAHISTINA 16MG TABLETA | CAJA X 20. LA SANTE@BETAHISTINA@15@0@30@@10
