1. CODIGO DE DOCUMENTO;2. NUMERO DE DOCUMENTO;3. CUENTA CONTABLE REGISTRO;4. IDENTIFICACION DE TERCERO;5. CENTRO DE UTILIDAD;6. CENTRO COSTOS;7. LINEAS DE COSTO;8. FECHA DOCUMENTO (dd/mm/yy);9. VLR DB;10. VLR CR;11. OBSERVACION;12. ESTADO (en fi se maneja, 3=sin confirmar, 4=confirmado, 2 = anulado );13. CODIGO DE CONCEPTO;14. BASE DE RETENCION;15. TASA DE RETENCION (PORCENTAJE DE RETENCION);
FN;21598;11050510;999999999;0;0;0;02/07/19;20500;0;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21598;41353202;999999999;03;1012;2;02/07/19;0;3500;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21598;41353804;999999999;03;1012;2;02/07/19;0;17000;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21598;61353202;830080649;03;1012;1;02/07/19;1000;0;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21598;61353804;830080649;03;1012;1;02/07/19;15045;0;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21598;14350510;830080649;0;0;0;02/07/19;0;1000;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21598;14352010;830080649;0;0;0;02/07/19;0;15045;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21599;11050510;999999999;0;0;0;02/07/19;21750;0;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21599;41353202;999999999;03;1012;2;02/07/19;0;200;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21599;41353803;999999999;03;1012;2;02/07/19;0;10210;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21599;41353804;999999999;03;1012;2;02/07/19;0;9400;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21599;61353202;830080649;03;1012;1;02/07/19;46;0;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21599;61353803;830080649;03;1012;1;02/07/19;9792;0;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21599;61353804;830080649;03;1012;1;02/07/19;6572;0;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21599;14350510;830080649;0;0;0;02/07/19;0;46;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21599;14352005;830080649;0;0;0;02/07/19;0;9792;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21599;14352010;830080649;0;0;0;02/07/19;0;6572;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21599;24080604;999999999;0;0;0;02/07/19;0;1940;VENTA PARTICULAR MES DE JULIO - 2019;4;RI64;10211;19;
FN;21600;11050510;999999999;0;0;0;02/07/19;24569;0;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21600;41353201;999999999;03;1012;2;02/07/19;0;2400;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21600;41353202;999999999;03;1012;2;02/07/19;0;3000;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21600;41353803;999999999;03;1012;2;02/07/19;0;2372;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21600;41353804;999999999;03;1012;2;02/07/19;0;15890;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21600;61353201;830080649;03;1012;1;02/07/19;574;0;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21600;61353202;830080649;03;1012;1;02/07/19;1652;0;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21600;61353803;830080649;03;1012;1;02/07/19;2352;0;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21600;61353804;830080649;03;1012;1;02/07/19;10444;0;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21600;14350505;830080649;0;0;0;02/07/19;0;574;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
FN;21600;14350510;830080649;0;0;0;02/07/19;0;1652;VENTA PARTICULAR MES DE JULIO - 2019;4;;;;
